# Top Selling & Amazon's Choice Electronics Products
# One per line, format: ASIN | Product Title
# Add your own products here!

# === LAPTOPS - Top Sellers ===
B0D1XD1ZV3 | Dell Inspiron 15 Laptop, Intel Core i5-1235U, 15.6 FHD
B0CX23V2ZK | HP Laptop 15s, 12th Gen Intel Core i3
B0C8T68Q6S | Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen
B0CK2YLWX1 | ASUS Vivobook 15, Intel Core i3-1215U 12th Gen

# === SMARTPHONES - Amazon's Choice ===
B0CXWCFDLQ | Samsung Galaxy M14 5G (Sapphire Blue, 6GB, 128GB)
B0CX59H6YL | Redmi 13C (Starlight Black, 6GB RAM, 128GB)
B0CHX1W1XJ | OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM)

# === HEADPHONES - Top Sellers ===
B0CK2FCG1K | Sony WH-1000XM5 Wireless Noise Cancelling Headphones
B09JQMJHXY | JBL Tune 770NC Wireless Over Ear ANC Headphones
B0BYYF7PQF | boAt Rockerz 450 Bluetooth On Ear Headphones

# === MONITORS - Amazon's Choice ===
B0BYV73MFV | LG 24 inch Full HD IPS Monitor, AMD FreeSync
B0C1JFJNKQ | Samsung 24 inch FHD Flat Monitor, 75Hz

# === Add Your Own Products Below ===
# Format: ASIN | Product Title
# Example:
# B0XXXXXX | Your Product Name Here
